"imageUrl","title","totalScore","reviewsCount","state","city","phone","categoryName","description","placeId","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours"
"https://lh5.googleusercontent.com/p/AF1QipM3S-sFGPzR5K7RYLb1ylYMSjpjARQCVm2uhTiV=w408-h306-k-no","Tebet Eco Park","4.7","24677","Daerah Khusus Ibukota Jakarta","Kota Jakarta Selatan","+62 21 5328454","Tujuan Wisata","Area hijau tepi sungai luas dengan jalur joging, taman bermain kecil, dan kios makanan akhir pekan.","ChIJ1Ugkkm3zaS4RXLLyfr1tc4M","-6.2373489","106.8529248","Minggu","06.00 to 18.00","Senin","06.00 to 18.00","Selasa","06.00 to 18.00","Rabu","06.00 to 18.00","Kamis","06.00 to 18.00","Jumat","06.00 to 18.00","Sabtu","06.00 to 18.00"
"https://lh5.googleusercontent.com/p/AF1QipO8GYiF-dkrWOR1mYydDNZXtV3uC9DeCP8mJ4mk=w426-h240-k-no","Galeri Indonesia Kaya","4.8","1725","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat","+62 21 23580679","Tujuan Wisata",,"ChIJf8IvSSD0aS4RGoaqXgFCQ4I","-6.1948499","106.8200607","Minggu","10.00 to 21.30","Senin","10.00 to 21.30","Selasa","10.00 to 21.30","Rabu","10.00 to 21.30","Kamis","10.00 to 21.30","Jumat","10.00 to 21.30","Sabtu","10.00 to 21.30"
"https://lh5.googleusercontent.com/p/AF1QipO4HTw7srjUNyLG9ca0zLaIzaro_5ZDSnPg5Bzj=w408-h306-k-no","Taman Impian Jaya Ancol","4.5","44219","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Resor keluarga di tepi pantai dengan taman hiburan, wahana air, beberapa hotel, & lapangan golf.","ChIJcdfvd3T0aS4RWFPBwpxqIIU","-6.1252747","106.8335569","Minggu","06.00 to 22.00","Senin","06.00 to 22.00","Selasa","06.00 to 22.00","Rabu","06.00 to 22.00","Kamis","06.00 to 22.00","Jumat","06.00 to 22.00","Sabtu","06.00 to 22.00"
"https://lh5.googleusercontent.com/p/AF1QipOiObdBrrYhaegnj8gcRmCMC6HGnA--9XWb46D3=w408-h306-k-no","Kampoeng Gallery","4.6","1125","Daerah Khusus Ibukota Jakarta","Kota Jakarta Selatan","+62 21 29126082","Tujuan Wisata",,"ChIJOZxSSj3xaS4RjYBuPBQAe0g","-6.2378611","106.7827223","Minggu","11.00 to 23.00","Senin","11.00 to 23.00","Selasa","11.00 to 23.00","Rabu","11.00 to 23.00","Kamis","11.00 to 23.00","Jumat","11.00 to 23.00","Sabtu","11.00 to 23.30"
"https://lh5.googleusercontent.com/p/AF1QipOLY_KmbyHsMn2gi_GiEXMtsxQzyqMuShbwpu3O=w408-h507-k-no","Taman Sumenep","4.6","70","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Taman",,"ChIJS01JJhr0aS4Rknsc_1OUjwg","-6.2020374","106.82754","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipNMrXQew1hW6QfrjRzlr1GtJ2z7e4QRMNFvCHAJ=w408-h272-k-no","Urban Farm PIK","4.7","1711","Daerah Khusus Ibukota Jakarta",,,"Tujuan Wisata","Mal modern outdoor dengan kafe nyaman, kedai camilan, toko, serta penjual buah dan sayuran.","ChIJi6GzR3sdai4R-OPvvHGstL0","-6.0907529","106.7429807","Minggu","07.00 to 21.00","Senin","09.00 to 21.00","Selasa","09.00 to 21.00","Rabu","09.00 to 21.00","Kamis","09.00 to 21.00","Jumat","09.00 to 21.00","Sabtu","07.00 to 21.00"
"https://lh5.googleusercontent.com/p/AF1QipMf5wTHnNt07a8QHY9tyyQ9LUwoZ1uCKzjXH7ig=w408-h725-k-no","Taman Tangkuban Perahu","4.5","4376","Daerah Khusus Ibukota Jakarta","Kota Jakarta Selatan",,"Tujuan Wisata","Taman melingkar di area perumahan yang teduh dengan peralatan bermain, penjual camilan, dan jalan setapak.","ChIJ41ttCQ70aS4R3eRig1FOARA","-6.2076521","106.8352437","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipNP7zR5pM9iGgJ3f1nHHzm5YjPn3rRqEinw4Mtl=w425-h240-k-no","Kawasan Wisata Kota Tua Jakarta","4.6","22257","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat",,"Tujuan Wisata","Distrik bersejarah tempat bangunan kolonial Belanda, museum & alun-alun ramai dengan pertunjukan jalanan.","ChIJ7RcAlCrsaS4RM4GToNQSzt8","-6.1350687","106.8136795","Minggu","08.00 to 21.00","Senin","08.00 to 21.00","Selasa","08.00 to 21.00","Rabu","08.00 to 21.00","Kamis","08.00 to 21.00","Jumat","08.00 to 21.00","Sabtu","08.00 to 21.00"
"https://lh5.googleusercontent.com/p/AF1QipNbR_sFwrMK2RTDgRyzQ53223XL24F9e9b8Lu1C=w408-h725-k-no","Taman Fatahillah","4.6","27140","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat",,"Tujuan Wisata","Lapangan ramai dikelilingi bangunan bersejarah & museum, dengan pertunjukan jalanan rutin.","ChIJ7V-PP_8dai4RMqvOj2luU_I","-6.134669","106.8132041",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipPz_UUE8qI1_JXJB6B8vPqCvGNlIactPMUdzbTH=w426-h240-k-no","Atlantis Water Adventures Ancol","4.5","10429","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Taman rekreasi air yang luas dengan banyak tanaman & atraksi seperti kolam ombak & tempat bermain apung.","ChIJSb_tryQeai4Razpg-FOwECI","-6.12419","106.839134","Minggu","08.00 to 17.30","Senin","09.00 to 15.30","Selasa","09.00 to 15.30","Rabu","09.00 to 15.30","Kamis","09.00 to 15.30","Jumat","09.00 to 15.30","Sabtu","08.00 to 17.30"
"https://lh5.googleusercontent.com/p/AF1QipOjdtTlmugjIGw4THQxMwT2_tg3ptvR2JOyiGlS=w408-h306-k-no","The Playground","4.5","936","Daerah Khusus Ibukota Jakarta","Kota Jakarta Selatan","+62 21 7196962","Tujuan Wisata","Taman anak-anak penuh warna dengan peralatan bermain, pancuran air, ring basket & miniatur zip line.","ChIJ3_yZ8YDxaS4Rm0_kwajzumA","-6.270935","106.820763","Minggu","08.00 to 17.30","Senin","08.00 to 17.30","Selasa","08.00 to 17.30","Rabu","08.00 to 17.30","Kamis","08.00 to 17.30","Jumat","08.00 to 17.30","Sabtu","08.00 to 17.30"
"https://lh5.googleusercontent.com/p/AF1QipPHM7eM5RrLczWZTxi4AvaRO7LhBg-2sVGpEpI=w408-h306-k-no","Alive Museum Ancol","4.3","1179","Daerah Khusus Ibukota Jakarta","Jkt Utara","+62 21 29388143","Tujuan Wisata","Patung lilin & beberapa tempat berfoto yang memberikan ilusi kepada pengunjung adalah bagian pemandangan unik.","ChIJtQCUlDYeai4RBl7pBSY0M74","-6.1175344","106.857313","Minggu","10.00 to 21.00","Senin","10.00 to 19.00","Selasa","10.00 to 19.00","Rabu","10.00 to 19.00","Kamis","10.00 to 19.00","Jumat","10.00 to 19.00","Sabtu","10.00 to 21.00"
"https://lh5.googleusercontent.com/p/AF1QipNTTERsgK1oPw3bRiPXPxGNKxfhOBiy2St2ihiY=w408-h306-k-no","Museum Tekstil Jakarta","4.5","2940","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat","+62 21 5606613","Tujuan Wisata","Bertempat di sebuah rumah abad ke-19, museum ini memamerkan tekstil tradisional yang penuh warna.","ChIJXVigIpv2aS4REJto8lZlJ9w","-6.1882117","106.8097432","Minggu","09.00 to 16.00","Senin","Tutup","Selasa","09.00 to 16.00","Rabu","09.00 to 16.00","Kamis","09.00 to 16.00","Jumat","09.00 to 16.00","Sabtu","09.00 to 16.00"
"https://lh5.googleusercontent.com/p/AF1QipPMB213O4QLaMUydqhCzoR1gDVzsy6dUQwCRJoa=w408-h612-k-no","Allianz Eco Park","4.6","6677","Daerah Khusus Ibukota Jakarta","Jkt Utara","+62 21 29222222","Tujuan Wisata","Taman petualangan outdoor dengan panahan, zip line, paintball, berperahu & aktivitas lainnya.","ChIJnToeJBoeai4RGjp1dqwxz54","-6.1257185","106.836356","Minggu","06.00 to 17.00","Senin","06.00 to 17.00","Selasa","06.00 to 17.00","Rabu","06.00 to 17.00","Kamis","06.00 to 17.00","Jumat","06.00 to 17.00","Sabtu","06.00 to 17.00"
"https://lh5.googleusercontent.com/p/AF1QipOktTGvAgljxwLfwgQMeDWoteFLprz9pYLkDCB7=w408-h306-k-no","Sea World Indonesia","4.5","43983","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Akuarium besar yang modern dengan hiu, aneka pertunjukan memberi makan hewan, kolam sentuh, & toko.","ChIJG1ytuCIeai4RELSMP0wM6o4","-6.126601","106.842958","Minggu","09.00 to 16.30","Senin","09.30 to 16.00","Selasa","09.30 to 16.00","Rabu","09.30 to 16.00","Kamis","09.30 to 16.00","Jumat","09.30 to 16.00","Sabtu","09.00 to 16.30"
"https://lh5.googleusercontent.com/p/AF1QipOJd4PusgVB7rUkUdfwSn3vSKMD0sAYEhN_aOiQ=w408-h306-k-no","Jakarta AQuarium Safari","4.7","10666","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat","+62 21 27893435","Tujuan Wisata",,"ChIJo7n7ffv3aS4RsSNgsHX4e94","-6.1749533","106.7900155","Minggu","10.00 to 19.30","Senin","10.00 to 19.30","Selasa","10.00 to 19.30","Rabu","10.00 to 19.30","Kamis","10.00 to 19.30","Jumat","10.00 to 19.30","Sabtu","10.00 to 19.30"
"https://lh5.googleusercontent.com/p/AF1QipMW-sdoBDbNTcS9u-Z0NaqxwAQq4DrjH72nV0wT=w408-h543-k-no","Ancol Learning Farm (Bertani)","4.6","39","Daerah Khusus Ibukota Jakarta","Jkt Utara","+62 877-8222-2422","Tujuan Wisata",,"ChIJcYZGZRceai4RLG5Org0ZIfM","-6.1243948","106.8376908","Minggu","08.00 to 15.00","Senin","08.00 to 15.00","Selasa","08.00 to 15.00","Rabu","08.00 to 15.00","Kamis","08.00 to 15.00","Jumat","08.00 to 15.00","Sabtu","08.00 to 15.00"
"https://lh5.googleusercontent.com/p/AF1QipNYvzUf20hkAPMK3BQuLB5rm1pJnoNVmel4vVcI=w408-h544-k-no","Taman Hutan Kota Penjaringan","4.5","3830","Daerah Khusus Ibukota Jakarta","Jkt Utara","+62 857-7040-6227","Tujuan Wisata",,"ChIJPcS3V4gdai4RFRiCKMVUaTQ","-6.1329076","106.7837762","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipPvlgMxIajqBZXZ3YSic5lUs287W1wiBsTvk87j=w426-h240-k-no","Taman Lapangan Banteng","4.7","26724","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata","Taman modern dengan jalur lari, taman bermain & amfiteater, plus air mancur & pertunjukan lampu saat malam.","ChIJA88y_8v1aS4RbfwYWObt98A","-6.170555","106.8350378","Minggu","06.00 to 21.00","Senin","06.00 to 20.00","Selasa","06.00 to 20.00","Rabu","06.00 to 20.00","Kamis","06.00 to 20.00","Jumat","06.00 to 20.00","Sabtu","06.00 to 21.00"
"https://lh5.googleusercontent.com/p/AF1QipNZ7FAyFAF47G1PmYwx4Cr0Tv6GxfB4BrSo9oxZ=w408-h612-k-no","Museum Bank Indonesia","4.7","10637","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat","+62 812-9157-3940","Tujuan Wisata","Museum yang menampilkan sejarah perbankan lokal, termasuk mata uang antik & uang kertas internasional.","ChIJDzlr6wH2aS4Ro2gBJGt31G0","-6.1371066","106.8129846","Minggu","08.00 to 15.00","Senin","Tutup","Selasa","08.00 to 15.00","Rabu","08.00 to 15.00","Kamis","08.00 to 15.00","Jumat","08.00 to 15.00","Sabtu","08.00 to 15.00"
"https://lh5.googleusercontent.com/p/AF1QipNC3DPWoAXsDS1yylS-ZHwgZIWAo3porT-rikOh=w408-h306-k-no","Toko Merah","4.6","3352","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat",,"Tujuan Wisata","Peninggalan langka dari era kolonial Belanda, rumah tahun 1730 ini dulunya kediaman gubernur jenderal.","ChIJC5w3F_kdai4RGJG1N7OAs0E","-6.1359743","106.8113018","Minggu","08.00 to 22.00","Senin","08.00 to 22.00","Selasa","08.00 to 22.00","Rabu","08.00 to 22.00","Kamis","08.00 to 22.00","Jumat","08.00 to 22.00","Sabtu","08.00 to 22.00"
"https://lh5.googleusercontent.com/p/AF1QipP7pbvp_vsy270AvvnTRzLLw1YsUENuv3TAPe3o=w408-h272-k-no","Pantjoran Pantai Indah Kapuk","4.7","12265","Daerah Khusus Ibukota Jakarta",,,"Tujuan Wisata","Kumpulan bangunan dengan desain indah yang menampilkan Chinatown tua, dengan toko makanan & kios kaki lima.","ChIJL2LONqYdai4R8R8LHoOjct8","-6.0905524","106.7444756","Minggu","07.00 to 23.00","Senin","07.00 to 23.00","Selasa","07.00 to 23.00","Rabu","07.00 to 23.00","Kamis","07.00 to 23.00","Jumat","07.00 to 23.00","Sabtu","07.00 to 23.00"
"https://lh5.googleusercontent.com/p/AF1QipPFe2Jd8UkRdGe765jLffmPTTt_WnEPINKRzkKJ=w426-h240-k-no","Taman Waduk Pluit","4.4","9239","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Ruang hijau di sekeliling danau ini memiliki hamparan rumput & pepohonan yang rindang, plus jalan & bangku.","ChIJpzb_bMAdai4ReeRnqMgSSMk","-6.1137292","106.7950497","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipM7UoXWEbTn8ZbeB6Z9aRSUZBP4faaSWhJzJxA4=w408-h306-k-no","Kawasan Ekowisata Mangrove PIK","4.3","4491","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Area rekreasi pusat kota dengan jalan setapak di hutan bakau, plus kolam pancing & monyet lokal.","ChIJtXURO2wdai4Rn7vSSu5Fma4","-6.1220799","106.7609549",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipMCqOmlO3v-l1IoMwcBxmhnZ-qpvxHbGYWsSzRN=w408-h544-k-no","Katedral Jakarta, Santa Maria Diangkat ke Surga","4.8","12789","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat","+62 21 3519186","Tujuan Wisata","Tempat ibadah Katolik Roma bergaya Neo-Gotik yang direstorasi, dibangun tahun 1901 dengan 3 menara & 3 altar.","ChIJrSFu-M71aS4RefySRqf97AM","-6.1691893","106.8328484","Minggu","08.00 to 20.00","Senin","08.00 to 20.00","Selasa","08.00 to 20.00","Rabu","Tutup","Kamis","08.00 to 20.00","Jumat","08.00 to 20.00","Sabtu","08.00 to 20.00"
"https://lh5.googleusercontent.com/p/AF1QipOMZodhbzwvDj0TXZmISCVLt8EjuJ7ZPLaKJZvK=w408-h306-k-no","Museum Sejarah Jakarta","4.6","22550","Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat","+62 21 6929101","Tujuan Wisata","Menempati bangunan dari abad ke-18, museum ini menjadi rumah untuk berbagai pameran tentang sejarah Jakarta.","ChIJfaWSQv8dai4RRQeMZy0D8BI","-6.1352","106.8133","Minggu","09.00 to 15.00","Senin","Tutup","Selasa","09.00 to 15.00","Rabu","09.00 to 15.00","Kamis","09.00 to 15.00","Jumat","09.00 to 15.00","Sabtu","09.00 to 15.00"
"https://lh5.googleusercontent.com/p/AF1QipNtzeKWLyJwBvWxTwdepBXWJuEjyhPQ2SjbZOxi=w408-h271-k-no","Ocean Dream Samudra - Ancol","4.6","9672","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Taman hiburan bertema air yang menampilkan pertunjukan bawah laut, akuarium, & pentas hewan laut.","ChIJF29IST0eai4RZvM5-mnWcJY","-6.125018","106.8436004","Minggu","09.00 to 17.00","Senin","09.00 to 17.00","Selasa","09.00 to 17.00","Rabu","09.00 to 17.00","Kamis","09.00 to 17.00","Jumat","09.00 to 17.00","Sabtu","09.00 to 17.00"
"https://lh5.googleusercontent.com/p/AF1QipPUa6F8FOj4w9R9TwAXwp-DlMJYM4Cc3llZu8Hh=w408-h306-k-no","Taman Situ Lembang","4.6","6456","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata","Ruang hijau kuno dekat kolam pancing dengan pepohonan teduh, jalan beraspal & perlengkapan bermain anak.","ChIJdXBB9n4QFAURQs2buyfwl98","-6.1973783","106.8343448",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipPayLnr2JfGW0guZjsGkWIKMaRMocfHtjh-1Es=w408-h306-k-no","Taman Wisata Alam Mangrove Angke Kapuk","4.3","15942","Daerah Khusus Ibukota Jakarta","Jkt Utara","+62 811-1787-890","Tujuan Wisata","Suaka margasatwa ini memiliki banyak pohon bakau, serta monyet dan berbagai jenis burung.","ChIJoytQiSUdai4RkGKxmmKQnMM","-6.1064903","106.7368887",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipOpRKZvzNe0qEfOcunc8M4JwNee962xxlWVPNWc=w426-h240-k-no","Faunaland Ancol","4.5","3724","Daerah Khusus Ibukota Jakarta","Jkt Utara","+62 21 29222222","Tujuan Wisata","Kebun binatang kecil dengan singa, keledai & kura-kura raksasa, dan pertunjukan burung & zona interaksi satwa.","ChIJOVWsoBkeai4RlI5DwRYmYVo","-6.1243125","106.8358125","Minggu","09.00 to 17.00","Senin","09.00 to 16.00","Selasa","09.00 to 16.00","Rabu","09.00 to 16.00","Kamis","09.00 to 16.00","Jumat","09.00 to 16.00","Sabtu","09.00 to 17.00"
"https://lh5.googleusercontent.com/p/AF1QipPgW85Un0PBhSdK-bS3o4bSF-Bka9HGG7i3bJVi=w408-h544-k-no","Monumen Selamat Datang","4.7","8587","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata","Monumen ikonis di tengah air mancur, menggambarkan pria & wanita dengan gerakan menyambut.","ChIJB1Svq5_2aS4RmQyBLA0cPSQ","-6.1949841","106.8230272",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipMWhfRZZA6ydKSt5Y4wwwoWqzQnbLms9GB93JO2=w426-h240-k-no","Suaka Margasatwa Muara Angke","4.3","663","Daerah Khusus Ibukota Jakarta","Jkt Utara",,"Tujuan Wisata","Hutan kota dengan jalan kayu di bawah pepohonan bakau, monyet ekor panjang & habitat burung yang dilindungi.","ChIJVWec4Qodai4RndtaPzBOjVw","-6.1160075","106.7692016","Minggu","08.00 to 18.00","Senin","Tutup","Selasa","08.00 to 18.00","Rabu","08.00 to 18.00","Kamis","08.00 to 18.00","Jumat","08.00 to 18.00","Sabtu","Tutup"
"https://lh5.googleusercontent.com/p/AF1QipN3WIPa0rOY-yILSM7y0R1xpTjgjAOkhXewmH6Z=w408-h725-k-no","Imagispace","4.4","83","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata",,"ChIJdY2ZvwXxaS4RcfpdHoPJf3k","-6.2254694","106.7994139",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipNcgrUCLXZjLPXupko2thaj9B0Y1ricxA8Gw7H3=w408-h306-k-no","Taman Mataram Jakarta","4.6","3335","Daerah Khusus Ibukota Jakarta","Kota Jakarta Selatan",,"Tujuan Wisata","Oasis kota yang luas dan indah dengan taman bermain & jalan setapak berkelok yang rindang.","ChIJwaKHt0bxaS4Rdz5scpPNTtA","-6.2328196","106.7995376",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipNXSMTKDT5iVNwkBlNDai3MGK0BToPEuIoC85_x=w408-h544-k-no","KidZania Jakarta","4.6","10519","Daerah Khusus Ibukota Jakarta","Kota Jakarta Selatan","+62 21 5154888","Tujuan Wisata",,"ChIJ7Zj-D1HxaS4RTEzBshMYqsk","-6.2250735","106.8097144","Minggu","09.00 to 19.00","Senin","09.00 to 19.00","Selasa","09.00 to 19.00","Rabu","09.00 to 19.00","Kamis","09.00 to 19.00","Jumat","09.00 to 19.00","Sabtu","09.00 to 19.00"
